GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	489.053	130.852	0.448	0.470	NA	NA
EGFR	AMPL_MUT	489.053	154.156	0.393	0.393	NA	NA
PRKCA	MUT	489.053	2.897	0.006	0.006	NA	NA
RELN	MUT	489.053	8.142	0.027	0.046	NA	NA
SEC61G	AMPL	489.053	43.044	0.162	0.317	NA	NA
RALGDS	MUT	489.053	1.531	0.006	0.006	NA	NA
KDR	MUT	489.053	18.364	0.055	0.064	NA	NA
CDKN2B	DEL	489.053	112.492	0.381	0.448	NA	NA
PTEN	MUT	489.053	98.043	0.290	0.314	NA	NA
KLHL9	DEL	489.053	22.596	0.104	0.229	NA	NA
CELSR1	MUT	9.677	0.189	0.015	0.015	NA	NA
