GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ADAM12	DEL	667.119	15.796	0.024	0.024	NA	NA
BUB3	DEL	667.119	14.355	0.021	0.021	NA	NA
CCNE1	MUT	667.119	6.526	0.009	0.009	NA	NA
CDKN2A	DEL	667.119	193.770	0.454	0.470	NA	NA
ERG	DEL	667.119	7.484	0.012	0.012	NA	NA
SMC3	DEL	667.119	10.038	0.024	0.024	NA	NA
CASP7	DEL	667.119	10.012	0.015	0.015	NA	NA
TCF7L2	DEL	667.119	13.795	0.021	0.021	NA	NA
CDKN2B	DEL	667.119	169.776	0.384	0.448	NA	NA
ETS2	DEL	667.119	2.034	0.003	0.003	NA	NA
MAPK7	MUT	667.119	3.909	0.006	0.006	NA	NA
MKI67	DEL	667.119	18.124	0.027	0.034	NA	NA
EGFR	MUT	667.119	212.540	0.393	0.393	NA	NA
FLNA	MUT	667.119	7.323	0.018	0.018	NA	NA
FLNC	MUT	667.119	14.653	0.024	0.024	NA	NA
PLAU	DEL	667.119	14.355	0.021	0.021	NA	NA
VCL	DEL	667.119	14.355	0.021	0.021	NA	NA
DUSP5	DEL	667.119	6.083	0.012	0.015	NA	NA
FGFR2	DEL	667.119	19.073	0.027	0.027	NA	NA
HCK	MUT	667.119	8.380	0.015	0.015	NA	NA
SLC18A2	DEL	667.119	10.351	0.018	0.018	NA	NA
ARHGEF6	AMPL	667.119	2.034	0.003	0.003	NA	NA
GRK5	DEL	667.119	10.277	0.018	0.018	NA	NA
RGS10	DEL	667.119	8.172	0.018	0.018	NA	NA
CAMK2G	DEL	667.119	14.355	0.021	0.021	NA	NA
RBMX	AMPL	667.119	3.582	0.009	0.009	NA	NA
MYST4	DEL	667.119	13.691	0.024	0.030	NA	NA
HSPA6	MUT	667.119	2.034	0.003	0.003	NA	NA
ZNF569	MUT	38.048	0.228	0.009	0.009	NA	NA
SEC61G	AMPL	13.655	60.025	0.177	0.317	NA	NA
SVEP1	MUT	6.583	0.061	0.012	0.012	NA	NA
PNLIP	DEL	6.343	4.265	0.012	0.015	NA	NA
SFTPA1	DEL	6.007	0.036	0.006	0.018	NA	NA
BMPR1A	DEL	5.660	0.017	0.003	0.018	NA	NA
PPP3CB	DEL	3.464	1.691	0.021	0.024	NA	NA
PRDX3	DEL	2.832	0.038	0.012	0.015	NA	NA
VTI1A	DEL	2.732	0.008	0.003	0.015	NA	NA
TACR3	MUT	2.527	0.053	0.009	0.009	NA	NA
SEC24C	DEL	2.503	6.657	0.015	0.021	NA	NA
