GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CD3E	MUT	827.584	4.984	0.006	0.006	NA	NA
CDH5	MUT	827.584	5.686	0.006	0.006	NA	NA
CENPF	MUT	827.584	9.869	0.012	0.012	NA	NA
EGFR	MUT	827.584	212.540	0.393	0.393	NA	NA
EGR1	MUT	827.584	5.480	0.009	0.009	NA	NA
EZR	MUT	827.584	6.306	0.012	0.012	NA	NA
PDLIM5	MUT	827.584	2.523	0.003	0.003	NA	NA
PTPRF	MUT	827.584	7.349	0.012	0.012	NA	NA
RB1	MUT	827.584	41.063	0.070	0.070	NA	NA
TP53	MUT	827.584	159.942	0.284	0.284	NA	NA
PTEN	MUT	827.584	146.881	0.299	0.314	NA	NA
ID4	AMPL	827.584	2.523	0.003	0.003	NA	NA
MLLT4	MUT	827.584	10.860	0.015	0.015	NA	NA
NUP153	AMPL	827.584	5.499	0.009	0.009	NA	NA
SQSTM1	MUT	827.584	2.523	0.003	0.003	NA	NA
CFHR3	AMPL	827.584	2.575	0.006	0.030	NA	NA
INPP5D	MUT	827.584	6.716	0.009	0.009	NA	NA
HSP90AB1	MUT	827.584	2.523	0.003	0.006	NA	NA
CLCA1	MUT	8.104	0.025	0.003	0.006	NA	NA
