GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ADCY9	MUT	744.549	2.310	0.006	0.009	NA	NA
COL6A2	MUT	744.549	11.761	0.027	0.027	NA	NA
FN1	MUT	744.549	9.444	0.018	0.018	NA	NA
TTN	MUT	744.549	28.475	0.052	0.207	NA	NA
EGF	MUT	744.549	4.583	0.009	0.009	NA	NA
EGFR	AMPL	744.549	154.344	0.393	0.393	NA	NA
GABRG2	MUT	744.549	3.611	0.009	0.009	NA	NA
HLA-DRA	MUT	744.549	2.270	0.003	0.003	NA	NA
SEC61G	AMPL	744.549	43.251	0.162	0.317	NA	NA
RB1	MUT	744.549	30.267	0.067	0.070	NA	NA
PTEN	MUT	744.549	98.041	0.290	0.314	NA	NA
TUBA3C	MUT	16.856	2.507	0.006	0.012	NA	NA
CACNA1B	MUT	9.614	1.227	0.015	0.015	NA	NA
CDH8	MUT	7.029	0.032	0.006	0.006	NA	NA
TCF7L2	MUT	3.640	7.512	0.021	0.021	NA	NA
