GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CNTN2	AMPL	183.793	7.000	0.018	0.018	NA	NA
EGFR	AMPL_MUT	183.793	155.506	0.393	0.393	NA	NA
RABIF	AMPL	183.793	1.805	0.006	0.006	NA	NA
DMD	MUT	183.793	13.168	0.027	0.040	NA	NA
PIK3C2B	AMPL	183.793	20.763	0.052	0.055	NA	NA
GABRA5	MUT	29.639	1.104	0.009	0.009	NA	NA
SRPR	MUT	3.813	0.012	0.003	0.006	NA	NA
PCDH11X	MUT	3.685	0.135	0.018	0.024	NA	NA
PCDH11Y	MUT	3.685	2.133	0.186	0.198	NA	NA
PCDHA10	DEL	3.685	0.307	0.024	0.024	NA	NA
ELAVL2	DEL	2.747	0.343	0.088	0.143	NA	NA
CDKN2A	DEL	2.605	131.575	0.448	0.470	NA	NA
CDKN2B	DEL	2.605	113.020	0.381	0.448	NA	NA
